,support,itemsets
0,0.0985239852398524,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'})
1,0.24723247232472326,frozenset({'G2_ИГРУШКИ'})
2,0.05055350553505535,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
3,0.3051660516605166,frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'})
4,0.14428044280442803,frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})
5,0.05682656826568266,frozenset({'G2_ОБУВЬ'})
6,1.0,frozenset({'G2_ПОДГУЗНИКИ'})
7,0.16789667896678967,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
8,0.3051660516605166,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})
9,0.0985239852398524,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ПОДГУЗНИКИ'})"
10,0.03726937269372694,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
11,0.24723247232472326,"frozenset({'G2_ИГРУШКИ', 'G2_ПОДГУЗНИКИ'})"
12,0.03136531365313653,"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
13,0.05018450184501845,"frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
14,0.05055350553505535,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ПОДГУЗНИКИ'})"
15,0.3051660516605166,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ПОДГУЗНИКИ'})"
16,0.061254612546125464,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
17,0.14428044280442803,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_ПОДГУЗНИКИ'})"
18,0.05682656826568266,"frozenset({'G2_ОБУВЬ', 'G2_ПОДГУЗНИКИ'})"
19,0.16789667896678967,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
20,0.3051660516605166,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
21,0.03173431734317343,"frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
22,0.03726937269372694,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ПОДГУЗНИКИ'})"
23,0.03136531365313653,"frozenset({'G2_ИГРУШКИ', 'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
24,0.05018450184501845,"frozenset({'G2_ИГРУШКИ', 'G2_ПОДГУЗНИКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
25,0.061254612546125464,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ', 'G2_ПОДГУЗНИКИ'})"
26,0.03173431734317343,"frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ', 'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
