,support,itemsets
0,0.08885424785658613,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'})
1,0.22915042868277474,frozenset({'G2_ИГРУШКИ'})
2,0.05144193296960249,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
3,1.0,frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'})
4,0.12314886983632112,frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})
5,0.03195635229929852,frozenset({'G2_ОБУВЬ'})
6,0.5954793452844894,frozenset({'G2_ПОДГУЗНИКИ'})
7,0.19251753702260327,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
8,0.37568199532346064,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})
9,0.08885424785658613,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
10,0.04598597038191738,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ПОДГУЗНИКИ'})"
11,0.03351519875292284,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
12,0.22915042868277474,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
13,0.10756040530007795,"frozenset({'G2_ИГРУШКИ', 'G2_ПОДГУЗНИКИ'})"
14,0.04676539360872954,"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
15,0.06157443491816056,"frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
16,0.05144193296960249,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
17,0.12314886983632112,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
18,0.03195635229929852,"frozenset({'G2_ОБУВЬ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
19,0.5954793452844894,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ПОДГУЗНИКИ'})"
20,0.19251753702260327,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
21,0.37568199532346064,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
22,0.048324240062353856,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_ПОДГУЗНИКИ'})"
23,0.05378020265003897,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
24,0.0779423226812159,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
25,0.17381137957911147,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
26,0.06625097427903351,"frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
27,0.04598597038191738,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ПОДГУЗНИКИ'})"
28,0.03351519875292284,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
29,0.10756040530007795,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ПОДГУЗНИКИ'})"
30,0.04676539360872954,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
31,0.06157443491816056,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
32,0.048324240062353856,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ПОДГУЗНИКИ'})"
33,0.05378020265003897,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
34,0.0779423226812159,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ', 'G2_ПОДГУЗНИКИ'})"
35,0.17381137957911147,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ', 'G2_ПОДГУЗНИКИ'})"
36,0.06625097427903351,"frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
