,support,itemsets
0,0.3261538461538461,frozenset({'G2_ИГРУШКИ'})
1,0.033846153846153845,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
2,0.09538461538461539,frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'})
3,0.9476923076923077,frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})
4,0.033846153846153845,frozenset({'G2_ОБУВЬ'})
5,0.28923076923076924,frozenset({'G2_ПОДГУЗНИКИ'})
6,0.3323076923076923,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
7,0.19076923076923077,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})
8,0.2923076923076923,"frozenset({'G2_ИГРУШКИ', 'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})"
9,0.055384615384615386,"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
10,0.033846153846153845,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
11,0.08615384615384615,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
12,0.27076923076923076,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_ПОДГУЗНИКИ'})"
13,0.3046153846153846,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
14,0.1723076923076923,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
15,0.04923076923076923,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
16,0.036923076923076927,"frozenset({'G2_ИГРУШКИ', 'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
17,0.043076923076923075,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
