,support,itemsets
0,0.75,frozenset({'G2_ИГРУШКИ'})
1,1.0,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
2,0.08676470588235294,frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'})
3,0.10882352941176471,frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})
4,0.08529411764705883,frozenset({'G2_ОБУВЬ'})
5,0.19558823529411765,frozenset({'G2_ПОДГУЗНИКИ'})
6,0.17058823529411765,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
7,0.09558823529411764,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})
8,0.75,"frozenset({'G2_ИГРУШКИ', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
9,0.057352941176470586,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
10,0.060294117647058824,"frozenset({'G2_ИГРУШКИ', 'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})"
11,0.047058823529411764,"frozenset({'G2_ИГРУШКИ', 'G2_ОБУВЬ'})"
12,0.1,"frozenset({'G2_ИГРУШКИ', 'G2_ПОДГУЗНИКИ'})"
13,0.11029411764705882,"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
14,0.061764705882352944,"frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
15,0.08676470588235294,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
16,0.10882352941176471,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
17,0.08529411764705883,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ОБУВЬ'})"
18,0.19558823529411765,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ПОДГУЗНИКИ'})"
19,0.17058823529411765,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
20,0.09558823529411764,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
21,0.03235294117647059,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
22,0.057352941176470586,"frozenset({'G2_ИГРУШКИ', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
23,0.060294117647058824,"frozenset({'G2_ИГРУШКИ', 'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
24,0.047058823529411764,"frozenset({'G2_ИГРУШКИ', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ОБУВЬ'})"
25,0.1,"frozenset({'G2_ИГРУШКИ', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ПОДГУЗНИКИ'})"
26,0.11029411764705882,"frozenset({'G2_ИГРУШКИ', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
27,0.061764705882352944,"frozenset({'G2_ИГРУШКИ', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
28,0.03235294117647059,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ПОДГУЗНИКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
