,support,itemsets
0,0.031092436974789917,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'})
1,0.453781512605042,frozenset({'G2_ИГРУШКИ'})
2,0.06218487394957983,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
3,0.1907563025210084,frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'})
4,0.1319327731092437,frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})
5,0.16134453781512606,frozenset({'G2_ОБУВЬ'})
6,0.25798319327731095,frozenset({'G2_ПОДГУЗНИКИ'})
7,1.0,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
8,0.1773109243697479,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})
9,0.031092436974789917,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
10,0.034453781512605045,"frozenset({'G2_ИГРУШКИ', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
11,0.05042016806722689,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
12,0.03613445378151261,"frozenset({'G2_ИГРУШКИ', 'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})"
13,0.03949579831932773,"frozenset({'G2_ИГРУШКИ', 'G2_ОБУВЬ'})"
14,0.07647058823529412,"frozenset({'G2_ИГРУШКИ', 'G2_ПОДГУЗНИКИ'})"
15,0.453781512605042,"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
16,0.05798319327731093,"frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
17,0.06218487394957983,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
18,0.06134453781512605,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ПОДГУЗНИКИ'})"
19,0.1907563025210084,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
20,0.0453781512605042,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
21,0.1319327731092437,"frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
22,0.16134453781512606,"frozenset({'G2_ОБУВЬ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
23,0.25798319327731095,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
24,0.1773109243697479,"frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
25,0.034453781512605045,"frozenset({'G2_ИГРУШКИ', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
26,0.05042016806722689,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
27,0.03613445378151261,"frozenset({'G2_ИГРУШКИ', 'G2_КРУПНОГАБАРИТНЫЙ ТОВАР', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
28,0.03949579831932773,"frozenset({'G2_ИГРУШКИ', 'G2_ОБУВЬ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
29,0.07647058823529412,"frozenset({'G2_ИГРУШКИ', 'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
30,0.05798319327731093,"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
31,0.06134453781512605,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ', 'G2_ПОДГУЗНИКИ'})"
32,0.0453781512605042,"frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ', 'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
