,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'}),"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ПОДГУЗНИКИ'})",0.09558823529411764,0.19558823529411765,0.03235294117647059,0.33846153846153854,1.7304800462695202,1.0,0.01365700692041523,1.2159712722298224,0.46674057649667416,0.12500000000000003,0.1776121501898468,0.2519375361480625
1,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",frozenset({'G2_ПОДГУЗНИКИ'}),0.09558823529411764,0.19558823529411765,0.03235294117647059,0.33846153846153854,1.7304800462695202,1.0,0.01365700692041523,1.2159712722298224,0.46674057649667416,0.12500000000000003,0.1776121501898468,0.2519375361480625
2,frozenset({'G2_ПОДГУЗНИКИ'}),frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'}),0.19558823529411765,0.09558823529411764,0.03235294117647059,0.16541353383458648,1.7304800462695202,1.0,0.01365700692041523,1.083664546899841,0.5247631710154563,0.12500000000000003,0.07720520814230701,0.2519375361480625
3,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ПОДГУЗНИКИ'})",frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'}),0.19558823529411765,0.09558823529411764,0.03235294117647059,0.16541353383458648,1.7304800462695202,1.0,0.01365700692041523,1.083664546899841,0.5247631710154563,0.12500000000000003,0.07720520814230701,0.2519375361480625
4,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'}),frozenset({'G2_ПОДГУЗНИКИ'}),0.09558823529411764,0.19558823529411765,0.03235294117647059,0.33846153846153854,1.7304800462695202,1.0,0.01365700692041523,1.2159712722298224,0.46674057649667416,0.12500000000000003,0.1776121501898468,0.2519375361480625
5,frozenset({'G2_ПОДГУЗНИКИ'}),"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",0.19558823529411765,0.09558823529411764,0.03235294117647059,0.16541353383458648,1.7304800462695202,1.0,0.01365700692041523,1.083664546899841,0.5247631710154563,0.12500000000000003,0.07720520814230701,0.2519375361480625
6,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})","frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})",0.03235294117647059,1.0,0.03235294117647059,1.0,1.0,1.0,0.0,inf,0.0,0.03235294117647059,0.0,0.5161764705882353
7,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})","frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",1.0,0.03235294117647059,0.03235294117647059,0.03235294117647059,1.0,1.0,0.0,1.0,0.0,0.03235294117647059,0.0,0.5161764705882353
8,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})","frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",1.0,0.061764705882352944,0.061764705882352944,0.061764705882352944,1.0,1.0,0.0,1.0,0.0,0.061764705882352944,0.0,0.5308823529411765
9,"frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})","frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})",0.061764705882352944,1.0,0.061764705882352944,1.0,1.0,1.0,0.0,inf,0.0,0.061764705882352944,0.0,0.5308823529411765
