,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'G2_ИГРУШКИ'}),"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",0.2402135231316726,0.13523131672597866,0.04092526690391459,0.17037037037037037,1.2598440545808967,1.0,0.008440875875432172,1.042355109303508,0.2714591182160675,0.12234042553191488,0.040634049687547615,0.23650097465886938
1,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",frozenset({'G2_ИГРУШКИ'}),0.13523131672597866,0.2402135231316726,0.04092526690391459,0.3026315789473684,1.2598440545808967,1.0,0.008440875875432172,1.089505136641375,0.23850420468777947,0.12234042553191488,0.08215210156538888,0.23650097465886938
2,frozenset({'G2_ИГРУШКИ'}),"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",0.2402135231316726,0.13523131672597866,0.04092526690391459,0.17037037037037037,1.2598440545808967,1.0,0.008440875875432172,1.042355109303508,0.2714591182160675,0.12234042553191488,0.040634049687547615,0.23650097465886938
3,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",frozenset({'G2_ИГРУШКИ'}),0.13523131672597866,0.2402135231316726,0.04092526690391459,0.3026315789473684,1.2598440545808967,1.0,0.008440875875432172,1.089505136641375,0.23850420468777947,0.12234042553191488,0.08215210156538888,0.23650097465886938
4,"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ИГРУШКИ'})","frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",0.2402135231316726,0.13523131672597866,0.04092526690391459,0.17037037037037037,1.2598440545808967,1.0,0.008440875875432172,1.042355109303508,0.2714591182160675,0.12234042553191488,0.040634049687547615,0.23650097465886938
5,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})","frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_ИГРУШКИ'})",0.13523131672597866,0.2402135231316726,0.04092526690391459,0.3026315789473684,1.2598440545808967,1.0,0.008440875875432172,1.089505136641375,0.23850420468777947,0.12234042553191488,0.08215210156538888,0.23650097465886938
6,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})",frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.0498220640569395,1.0,0.0498220640569395,1.0,1.0,1.0,0.0,inf,0.0,0.0498220640569395,0.0,0.5249110320284698
7,"frozenset({'G2_ИГРУШКИ', 'G2_ПОДГУЗНИКИ'})",frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.08896797153024912,1.0,0.08896797153024912,1.0,1.0,1.0,0.0,inf,0.0,0.08896797153024912,0.0,0.5444839857651246
8,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),"frozenset({'G2_ИГРУШКИ', 'G2_ПОДГУЗНИКИ'})",1.0,0.08896797153024912,0.08896797153024912,0.08896797153024912,1.0,1.0,0.0,1.0,0.0,0.08896797153024912,0.0,0.5444839857651246
9,"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.04092526690391459,1.0,0.04092526690391459,1.0,1.0,1.0,0.0,inf,0.0,0.04092526690391459,0.0,0.5204626334519573
10,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",1.0,0.04092526690391459,0.04092526690391459,0.04092526690391459,1.0,1.0,0.0,1.0,0.0,0.04092526690391459,0.0,0.5204626334519573
11,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),frozenset({'G2_ИГРУШКИ'}),1.0,0.2402135231316726,0.2402135231316726,0.2402135231316726,1.0,1.0,0.0,1.0,0.0,0.2402135231316726,0.0,0.6201067615658363
12,"frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.03202846975088968,1.0,0.03202846975088968,1.0,1.0,1.0,0.0,inf,0.0,0.03202846975088968,0.0,0.5160142348754448
13,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),"frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",1.0,0.03202846975088968,0.03202846975088968,0.03202846975088968,1.0,1.0,0.0,1.0,0.0,0.03202846975088968,0.0,0.5160142348754448
14,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ПОДГУЗНИКИ'})",frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.11921708185053381,1.0,0.11921708185053381,1.0,1.0,1.0,0.0,inf,0.0,0.11921708185053381,0.0,0.5596085409252669
15,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ПОДГУЗНИКИ'})",1.0,0.11921708185053381,0.11921708185053381,0.11921708185053381,1.0,1.0,0.0,1.0,0.0,0.11921708185053381,0.0,0.5596085409252669
16,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.03914590747330961,1.0,0.03914590747330961,1.0,1.0,1.0,0.0,inf,0.0,0.03914590747330961,0.0,0.5195729537366548
17,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",1.0,0.03914590747330961,0.03914590747330961,0.03914590747330961,1.0,1.0,0.0,1.0,0.0,0.03914590747330961,0.0,0.5195729537366548
18,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.04092526690391459,1.0,0.04092526690391459,1.0,1.0,1.0,0.0,inf,0.0,0.04092526690391459,0.0,0.5204626334519573
19,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",1.0,0.04092526690391459,0.04092526690391459,0.04092526690391459,1.0,1.0,0.0,1.0,0.0,0.04092526690391459,0.0,0.5204626334519573
20,"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.0800711743772242,1.0,0.0800711743772242,1.0,1.0,1.0,0.0,inf,0.0,0.0800711743772242,0.0,0.5400355871886121
21,frozenset({'G2_ИГРУШКИ'}),frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.2402135231316726,1.0,0.2402135231316726,1.0,1.0,1.0,0.0,inf,0.0,0.2402135231316726,0.0,0.6201067615658363
22,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})",1.0,0.0498220640569395,0.0498220640569395,0.0498220640569395,1.0,1.0,0.0,1.0,0.0,0.0498220640569395,0.0,0.5249110320284698
23,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),frozenset({'G2_ПОДГУЗНИКИ'}),1.0,0.5836298932384342,0.5836298932384342,0.5836298932384342,1.0,1.0,0.0,1.0,0.0,0.5836298932384343,0.0,0.791814946619217
24,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",1.0,0.13523131672597866,0.13523131672597866,0.13523131672597866,1.0,1.0,0.0,1.0,0.0,0.13523131672597866,0.0,0.5676156583629893
25,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})",1.0,0.04804270462633452,0.04804270462633452,0.04804270462633452,1.0,1.0,0.0,1.0,0.0,0.04804270462633452,0.0,0.5240213523131673
26,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})",frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.04804270462633452,1.0,0.04804270462633452,1.0,1.0,1.0,0.0,inf,0.0,0.04804270462633452,0.0,0.5240213523131673
27,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'}),1.0,0.2277580071174377,0.2277580071174377,0.2277580071174377,1.0,1.0,0.0,1.0,0.0,0.2277580071174377,0.0,0.6138790035587188
28,frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'}),frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.2277580071174377,1.0,0.2277580071174377,1.0,1.0,1.0,0.0,inf,0.0,0.2277580071174377,0.0,0.6138790035587188
29,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'}),1.0,0.05871886120996441,0.05871886120996441,0.05871886120996441,1.0,1.0,0.0,1.0,0.0,0.05871886120996441,0.0,0.5293594306049823
30,frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'}),frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.05871886120996441,1.0,0.05871886120996441,1.0,1.0,1.0,0.0,inf,0.0,0.05871886120996441,0.0,0.5293594306049823
31,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),frozenset({'G2_ОБУВЬ'}),1.0,0.03202846975088968,0.03202846975088968,0.03202846975088968,1.0,1.0,0.0,1.0,0.0,0.03202846975088968,0.0,0.5160142348754448
32,frozenset({'G2_ОБУВЬ'}),frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.03202846975088968,1.0,0.03202846975088968,1.0,1.0,1.0,0.0,inf,0.0,0.03202846975088968,0.0,0.5160142348754448
33,frozenset({'G2_ПОДГУЗНИКИ'}),frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.5836298932384342,1.0,0.5836298932384342,1.0,1.0,1.0,0.0,inf,0.0,0.5836298932384343,0.0,0.791814946619217
34,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),"frozenset({'G2_ПОДГУЗНИКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",1.0,0.0800711743772242,0.0800711743772242,0.0800711743772242,1.0,1.0,0.0,1.0,0.0,0.0800711743772242,0.0,0.5400355871886121
35,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.13523131672597866,1.0,0.13523131672597866,1.0,1.0,1.0,0.0,inf,0.0,0.13523131672597866,0.0,0.5676156583629893
36,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'}),1.0,0.2277580071174377,0.2277580071174377,0.2277580071174377,1.0,1.0,0.0,1.0,0.0,0.2277580071174377,0.0,0.6138790035587188
37,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'}),frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),0.2277580071174377,1.0,0.2277580071174377,1.0,1.0,1.0,0.0,inf,0.0,0.2277580071174377,0.0,0.6138790035587188
38,frozenset({'G2_ИГРУШКИ'}),frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'}),0.2402135231316726,0.2277580071174377,0.0498220640569395,0.2074074074074074,0.9106481481481482,1.0,-0.004888489254188777,0.974324009711644,-0.11437037037037039,0.11914893617021277,-0.02635261990100699,0.2130787037037037
39,frozenset({'G2_ИГРУШКИ'}),"frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ', 'G2_КОСМЕТИКА/ГИГИЕНА'})",0.2402135231316726,0.2277580071174377,0.0498220640569395,0.2074074074074074,0.9106481481481482,1.0,-0.004888489254188777,0.974324009711644,-0.11437037037037039,0.11914893617021277,-0.02635261990100699,0.2130787037037037
