,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),frozenset({'G2_ПОДГУЗНИКИ'}),0.0985239852398524,1.0,0.0985239852398524,1.0,1.0,1.0,0.0,inf,0.0,0.0985239852398524,0.0,0.5492619926199263
1,frozenset({'G2_ПОДГУЗНИКИ'}),frozenset({'G2_ДЕТСКОЕ ПИТАНИЕ'}),1.0,0.0985239852398524,0.0985239852398524,0.0985239852398524,1.0,1.0,0.0,1.0,0.0,0.0985239852398524,0.0,0.5492619926199263
2,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",frozenset({'G2_ПОДГУЗНИКИ'}),0.03173431734317343,1.0,0.03173431734317343,1.0,1.0,1.0,0.0,inf,0.0,0.03173431734317343,0.0,0.5158671586715867
3,frozenset({'G2_ПОДГУЗНИКИ'}),"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",1.0,0.061254612546125464,0.061254612546125464,0.061254612546125464,1.0,1.0,0.0,1.0,0.0,0.061254612546125464,0.0,0.5306273062730628
4,"frozenset({'G2_КОСМЕТИКА/ГИГИЕНА', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",frozenset({'G2_ПОДГУЗНИКИ'}),0.061254612546125464,1.0,0.061254612546125464,1.0,1.0,1.0,0.0,inf,0.0,0.061254612546125464,0.0,0.5306273062730628
5,frozenset({'G2_ПОДГУЗНИКИ'}),"frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",1.0,0.05018450184501845,0.05018450184501845,0.05018450184501845,1.0,1.0,0.0,1.0,0.0,0.05018450184501845,0.0,0.5250922509225092
6,"frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})",frozenset({'G2_ПОДГУЗНИКИ'}),0.05018450184501845,1.0,0.05018450184501845,1.0,1.0,1.0,0.0,inf,0.0,0.05018450184501845,0.0,0.5250922509225092
7,frozenset({'G2_ПОДГУЗНИКИ'}),"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",1.0,0.03136531365313653,0.03136531365313653,0.03136531365313653,1.0,1.0,0.0,1.0,0.0,0.03136531365313654,0.0,0.5156826568265682
8,"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",frozenset({'G2_ПОДГУЗНИКИ'}),0.03136531365313653,1.0,0.03136531365313653,1.0,1.0,1.0,0.0,inf,0.0,0.03136531365313654,0.0,0.5156826568265682
9,frozenset({'G2_ПОДГУЗНИКИ'}),"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})",1.0,0.03726937269372694,0.03726937269372694,0.03726937269372694,1.0,1.0,0.0,1.0,0.0,0.03726937269372694,0.0,0.5186346863468635
10,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})",frozenset({'G2_ПОДГУЗНИКИ'}),0.03726937269372694,1.0,0.03726937269372694,1.0,1.0,1.0,0.0,inf,0.0,0.03726937269372694,0.0,0.5186346863468635
11,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'}),frozenset({'G2_ПОДГУЗНИКИ'}),0.3051660516605166,1.0,0.3051660516605166,1.0,1.0,1.0,0.0,inf,0.0,0.3051660516605166,0.0,0.6525830258302583
12,frozenset({'G2_ПОДГУЗНИКИ'}),frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'}),1.0,0.3051660516605166,0.3051660516605166,0.3051660516605166,1.0,1.0,0.0,1.0,0.0,0.3051660516605166,0.0,0.6525830258302583
13,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",frozenset({'G2_ПОДГУЗНИКИ'}),0.16789667896678967,1.0,0.16789667896678967,1.0,1.0,1.0,0.0,inf,0.0,0.16789667896678967,0.0,0.5839483394833949
14,frozenset({'G2_ПОДГУЗНИКИ'}),"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})",1.0,0.16789667896678967,0.16789667896678967,0.16789667896678967,1.0,1.0,0.0,1.0,0.0,0.16789667896678967,0.0,0.5839483394833949
15,frozenset({'G2_ПОДГУЗНИКИ'}),frozenset({'G2_ОБУВЬ'}),1.0,0.05682656826568266,0.05682656826568266,0.05682656826568266,1.0,1.0,0.0,1.0,0.0,0.056826568265682664,0.0,0.5284132841328413
16,frozenset({'G2_ОБУВЬ'}),frozenset({'G2_ПОДГУЗНИКИ'}),0.05682656826568266,1.0,0.05682656826568266,1.0,1.0,1.0,0.0,inf,0.0,0.056826568265682664,0.0,0.5284132841328413
17,frozenset({'G2_ПОДГУЗНИКИ'}),frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'}),1.0,0.14428044280442803,0.14428044280442803,0.14428044280442803,1.0,1.0,0.0,1.0,0.0,0.14428044280442803,0.0,0.572140221402214
18,frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'}),frozenset({'G2_ПОДГУЗНИКИ'}),0.14428044280442803,1.0,0.14428044280442803,1.0,1.0,1.0,0.0,inf,0.0,0.14428044280442803,0.0,0.572140221402214
19,frozenset({'G2_ПОДГУЗНИКИ'}),frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'}),1.0,0.3051660516605166,0.3051660516605166,0.3051660516605166,1.0,1.0,0.0,1.0,0.0,0.3051660516605166,0.0,0.6525830258302583
20,frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'}),frozenset({'G2_ПОДГУЗНИКИ'}),0.3051660516605166,1.0,0.3051660516605166,1.0,1.0,1.0,0.0,inf,0.0,0.3051660516605166,0.0,0.6525830258302583
21,frozenset({'G2_ПОДГУЗНИКИ'}),"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})",1.0,0.05055350553505535,0.05055350553505535,0.05055350553505535,1.0,1.0,0.0,1.0,0.0,0.05055350553505535,0.0,0.5252767527675277
22,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})",frozenset({'G2_ПОДГУЗНИКИ'}),0.05055350553505535,1.0,0.05055350553505535,1.0,1.0,1.0,0.0,inf,0.0,0.05055350553505535,0.0,0.5252767527675277
23,frozenset({'G2_ПОДГУЗНИКИ'}),frozenset({'G2_ИГРУШКИ'}),1.0,0.24723247232472326,0.24723247232472326,0.24723247232472326,1.0,1.0,0.0,1.0,0.0,0.24723247232472326,0.0,0.6236162361623616
